#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
gelid_enderium                                    ([no block])                                                                     = ÈÛÈÚ¼«º®Ä©Ó°
thaumium                                          ([no block])                                                                     = ÈÛÈÚÉñÃØ
primal_metal                                      ([no block])                                                                     = ÈÛÈÚÔª½ğ
fluid_booze_apple_juice                           (growthcraft_apples:fluid_applecider_apple_juice)                                = Æ»¹ûÖ­
fluid_booze_apple_cider_fermented                 (growthcraft_apples:fluid_applecider_apple_cider_fermented)                      = Æ»¹û¾Æ
fluid_booze_apple_cider_potent                    (growthcraft_apples:fluid_applecider_apple_cider_potent)                         = Æ»¹û¾Æ
fluid_booze_apple_cider_extended                  (growthcraft_apples:fluid_applecider_apple_cider_extended)                       = Æ»¹û¾Æ
fluid_booze_apple_cider_ethereal                  (growthcraft_apples:fluid_applecider_apple_cider_ethereal)                       = ÏÉâÍÃÜ¾Æ
fluid_booze_apple_cider_intoxicated               (growthcraft_apples:fluid_applecider_apple_cider_intoxicated)                    = Æ»¹û¾Æ
fluid_booze_apple_cider_poisoned                  (growthcraft_apples:fluid_applecider_apple_cider_poisoned)                       = Æ»¹û¾Æ
fluid_booze_apple_cider_potentextended            (growthcraft_apples:fluid_applecider_apple_cider_potentextended)                 = Apple Cider
fluid_booze_purple_juice                          (growthcraft_grapes:fluid_grapebooze_purple_juice)                               = ×ÏÆÏÌÑÖ­
fluid_booze_purple_wine                           (growthcraft_grapes:fluid_grapebooze_purple_wine)                                = ×ÏÆÏÌÑ¾Æ
fluid_booze_purple_wine_potent                    (growthcraft_grapes:fluid_grapebooze_purple_wine_potent)                         = ×ÏÆÏÌÑ¾Æ
fluid_booze_purple_wine_extended                  (growthcraft_grapes:fluid_grapebooze_purple_wine_extended)                       = ×ÏÆÏÌÑ¾Æ
fluid_booze_purple_ambrosia                       (growthcraft_grapes:fluid_grapebooze_purple_ambrosia)                            = ÏÉâÍÃÜ¾Æ
fluid_booze_purple_portwine                       (growthcraft_grapes:fluid_grapebooze_purple_portwine)                            = ²¨ÌØ¾Æ
fluid_booze_purple_wine_intoxicated               (growthcraft_grapes:fluid_grapebooze_purple_wine_intoxicated)                    = ×ÏÆÏÌÑ¾Æ
fluid_booze_purple_wine_poisoned                  (growthcraft_grapes:fluid_grapebooze_purple_wine_poisoned)                       = ×ÏÆÏÌÑ¾Æ
fluid_booze_green_juice                           (growthcraft_grapes:fluid_grapebooze_green_juice)                                = ÂÌÆÏÌÑÖ­
fluid_booze_green_wine                            (growthcraft_grapes:fluid_grapebooze_green_wine)                                 = ÂÌÆÏÌÑ¾Æ
fluid_booze_green_wine_potent                     (growthcraft_grapes:fluid_grapebooze_green_wine_potent)                          = ÂÌÆÏÌÑ¾Æ
fluid_booze_green_wine_extended                   (growthcraft_grapes:fluid_grapebooze_green_wine_extended)                        = ÂÌÆÏÌÑ¾Æ
fluid_booze_green_ambrosia                        (growthcraft_grapes:fluid_grapebooze_green_ambrosia)                             = ÏÉâÍÃÜ¾Æ
fluid_booze_green_portwine                        (growthcraft_grapes:fluid_grapebooze_green_portwine)                             = ²¨ÌØ¾Æ
fluid_booze_green_wine_intoxicated                (growthcraft_grapes:fluid_grapebooze_green_wine_intoxicated)                     = ÂÌÆÏÌÑ¾Æ
fluid_booze_green_wine_poisoned                   (growthcraft_grapes:fluid_grapebooze_green_wine_poisoned)                        = ÂÌÆÏÌÑ¾Æ
fluid_booze_red_juice                             (growthcraft_grapes:fluid_grapebooze_red_juice)                                  = ºìÆÏÌÑÖ­
fluid_booze_red_wine                              (growthcraft_grapes:fluid_grapebooze_red_wine)                                   = ºìÆÏÌÑ¾Æ
fluid_booze_red_wine_potent                       (growthcraft_grapes:fluid_grapebooze_red_wine_potent)                            = ºìÆÏÌÑ¾Æ
fluid_booze_red_wine_extended                     (growthcraft_grapes:fluid_grapebooze_red_wine_extended)                          = ºìÆÏÌÑ¾Æ
fluid_booze_red_ambrosia                          (growthcraft_grapes:fluid_grapebooze_red_ambrosia)                               = ÏÉâÍÃÜ¾Æ
fluid_booze_red_portwine                          (growthcraft_grapes:fluid_grapebooze_red_portwine)                               = ²¨ÌØ¾Æ
fluid_booze_red_wine_intoxicated                  (growthcraft_grapes:fluid_grapebooze_red_wine_intoxicated)                       = ºìÆÏÌÑ¾Æ
fluid_booze_red_wine_poisoned                     (growthcraft_grapes:fluid_grapebooze_red_wine_poisoned)                          = ºìÆÏÌÑ¾Æ
fluid_honey                                       (growthcraft_bees:fluid_honey)                                                   = ·äÃÛ
fluid_booze_mead_young                            (growthcraft_bees:fluid_mead_mead_young)                                         = Î´·¢½ÍµÄ·äÃÛ¾Æ
fluid_booze_mead_fermented                        (growthcraft_bees:fluid_mead_mead_fermented)                                     = ·äÃÛ¾Æ
fluid_booze_mead_potent                           (growthcraft_bees:fluid_mead_mead_potent)                                        = Å¨·äÃÛ¾Æ
fluid_booze_mead_extended                         (growthcraft_bees:fluid_mead_mead_extended)                                      = ³¤Ğ§·äÃÛ¾Æ
fluid_booze_mead_ethereal                         (growthcraft_bees:fluid_mead_mead_ethereal)                                      = ÔÌÄ§·äÃÛ¾Æ
fluid_booze_mead_intoxicated                      (growthcraft_bees:fluid_mead_mead_intoxicated)                                   = ×íÈËµÄ·äÃÛ¾Æ
fluid_booze_mead_poisoned                         (growthcraft_bees:fluid_mead_mead_poisoned)                                      = ·äÃÛ¾Æ
fluid_booze_mead_hyperextended                    (growthcraft_bees:fluid_mead_mead_hyperextended)                                 = ³¬³¤Ğ§·äÃÛ¾Æ
fluid_booze_mead_potentextended                   (growthcraft_bees:fluid_mead_mead_potentextended)                                = Potent-Extended Mead
fluid_booze_sake_water                            (growthcraft_rice:fluid_sakebooze_sake_water)                                    = Çå¾Æ·¢½Í»ù
fluid_booze_sake_mash                             (growthcraft_rice:fluid_sakebooze_sake_mash)                                     = Î´·¢½ÍµÄÇå¾Æ
fluid_booze_sake_fermented                        (growthcraft_rice:fluid_sakebooze_sake_fermented)                                = Çå¾Æ
fluid_booze_sake_potent                           (growthcraft_rice:fluid_sakebooze_sake_potent)                                   = Çå¾Æ
fluid_booze_sake_extended                         (growthcraft_rice:fluid_sakebooze_sake_extended)                                 = Çå¾Æ
fluid_booze_sake_hyperextended                    (growthcraft_rice:fluid_sakebooze_sake_hyperextended)                            = Çå¾Æ
fluid_booze_sake_potent_extended                  (growthcraft_rice:fluid_sakebooze_sake_potent_extended)                          = Çå¾Æ
fluid_booze_sake_potent_hyperextended             (growthcraft_rice:fluid_sakebooze_sake_potent_hyperextended)                     = Çå¾Æ
fluid_booze_sake_poisoned                         (growthcraft_rice:fluid_sakebooze_sake_poisoned)                                 = Çå¾Æ
fluid_booze_sake_magical                          (growthcraft_rice:fluid_sakebooze_sake_magical)                                  = Sake
fluid_booze_lager_young                           (growthcraft_hops:fluid_lagerbooze_young)                                        = À­¸ñÆ¡¾Æ
fluid_booze_lager_normal                          (growthcraft_hops:fluid_lagerbooze_normal)                                       = À­¸ñÆ¡¾Æ
fluid_booze_lager_potent                          (growthcraft_hops:fluid_lagerbooze_potent)                                       = À­¸ñÆ¡¾Æ
fluid_booze_lager_extended                        (growthcraft_hops:fluid_lagerbooze_extended)                                     = À­¸ñÆ¡¾Æ
fluid_booze_lager_hyperextended                   (growthcraft_hops:fluid_lagerbooze_hyperextended)                                = À­¸ñÆ¡¾Æ
fluid_booze_lager_intoxicated                     (growthcraft_hops:fluid_lagerbooze_intoxicated)                                  = À­¸ñÆ¡¾Æ
fluid_booze_lager_poisoned                        (growthcraft_hops:fluid_lagerbooze_poisoned)                                     = À­¸ñÆ¡¾Æ
fluid_booze_lager_potentextended                  (growthcraft_hops:fluid_lagerbooze_potentextended)                               = Lager
fluid_booze_lager_magical                         (growthcraft_hops:fluid_lagerbooze_magical)                                      = Lager
fluid_booze_hopale_unhopped                       (growthcraft_hops:fluid_hopalebooze_unhopped)                                    = ÂóÑ¿¾Æ
fluid_booze_hopale_normal                         (growthcraft_hops:fluid_hopalebooze_normal)                                      = ÂóÑ¿¾Æ
fluid_booze_hopale_potent                         (growthcraft_hops:fluid_hopalebooze_potent)                                      = ÂóÑ¿¾Æ
fluid_booze_hopale_extended                       (growthcraft_hops:fluid_hopalebooze_extended)                                    = ÂóÑ¿¾Æ
fluid_booze_hopale_young                          (growthcraft_hops:fluid_hopalebooze_young)                                       = ÂóÑ¿¾Æ
fluid_booze_hopale_hyperextended                  (growthcraft_hops:fluid_hopalebooze_hyperextended)                               = ÂóÑ¿¾Æ
fluid_booze_hopale_lager                          (growthcraft_hops:fluid_hopalebooze_lager)                                       = ÂóÑ¿¾Æ
fluid_booze_hopale_intoxicated                    (growthcraft_hops:fluid_hopalebooze_intoxicated)                                 = ÂóÑ¿¾Æ
fluid_booze_hopale_poisoned                       (growthcraft_hops:fluid_hopalebooze_poisoned)                                    = ÂóÑ¿¾Æ
fluid_milk                                        (growthcraft_milk:fluid_milk)                                                    = Å£ÄÌ
fluid_butter_milk                                 (growthcraft_milk:fluid_butter_milk)                                             = ÀÒÈé
fluid_cream                                       (growthcraft_milk:fluid_cream)                                                   = ÄÌÓÍ
fluid_milk_curds                                  (growthcraft_milk:fluid_milk_curds)                                              = ÄıÈé
fluid_rennet                                      (growthcraft_milk:fluid_rennet)                                                  = ÄıÈéÃ¸
fluid_skim_milk                                   (growthcraft_milk:fluid_skim_milk)                                               = ÍÑÖ¬ÄÌ
fluid_whey                                        (growthcraft_milk:fluid_whey)                                                    = ÈéÇå
fluid_condensed_milk                              (growthcraft_milk:fluid_condensed_milk)                                          = °ÍÊÏÄÌ
fluid_booze_kumis_kumis_fermented                 (growthcraft_milk:fluid_kumisbooze_kumis_fermented)                              = ·¢½ÍÈé¾Æ
fluid_booze_kumis_kumis_potent                    (growthcraft_milk:fluid_kumisbooze_kumis_potent)                                 = Å¨Èé¾Æ
fluid_booze_kumis_kumis_extended                  (growthcraft_milk:fluid_kumisbooze_kumis_extended)                               = ³¤Ğ§Èé¾Æ
fluid_booze_kumis_kumis_hyperextended             (growthcraft_milk:fluid_kumisbooze_kumis_hyperextended)                          = ³¬³¤Ğ§Èé¾Æ
fluid_booze_kumis_kumis_potent_extended           (growthcraft_milk:fluid_kumisbooze_kumis_potent_extended)                        = ³¤Ğ§Å¨Èé¾Æ
fluid_booze_kumis_kumis_potent_hyperextended      (growthcraft_milk:fluid_kumisbooze_kumis_potent_hyperextended)                   = ³¬³¤Ğ§Å¨Èé¾Æ
fluid_booze_kumis_kumis_poisoned                  (growthcraft_milk:fluid_kumisbooze_kumis_poisoned)                               = Èé¾Æ
fluid_cheese_ricotta                              (growthcraft_milk:fluid_cheese_ricotta)                                          = Àï¿ÆËşÄÌÀÒ
fluid_cheese_gorgonzola                           (growthcraft_milk:fluid_cheese_gorgonzola)                                       = ¹Å¸Ô×óÀ­ÄÌÀÒ
fluid_cheese_emmentaler                           (growthcraft_milk:fluid_cheese_emmentaler)                                       = ÈğÊ¿ÄÌÀÒ
fluid_cheese_appenzeller                          (growthcraft_milk:fluid_cheese_appenzeller)                                      = °¢Åí²ß¶ûÄÌÀÒ
fluid_cheese_asiago                               (growthcraft_milk:fluid_cheese_asiago)                                           = °¬Ë¹°¢¸ñÄÌÀÒ
fluid_cheese_parmesan                             (growthcraft_milk:fluid_cheese_parmesan)                                         = ÅÁÂíÉ­ÄÌÀÒ
fluid_cheese_casu_marzu                           (growthcraft_milk:fluid_cheese_casu_marzu)                                       = fluid.fluid_cheese_casu_marzu
fluid_cheese_cheddar                              (growthcraft_milk:fluid_cheese_cheddar)                                          = ÇĞ´ïÄÌÀÒ
fluid_cheese_monterey                             (growthcraft_milk:fluid_cheese_monterey)                                         = ÃÉÌØÈğÄÌÀÒ
fluid_cheese_gouda                                (growthcraft_milk:fluid_cheese_gouda)                                            = ¸ß´ïÄÌÀÒ
fluid_cheese_provolone                            (growthcraft_milk:fluid_cheese_provolone)                                        = ²¨ÂŞ·üÂåÄÌÀÒ
essence                                           (industrialforegoing:essence)                                                    = ¾«»ªÒº
milk                                              (industrialforegoing:milk)                                                       = Å£ÄÌ
meat                                              (industrialforegoing:meat)                                                       = ÈâÌÀ
latex                                             (industrialforegoing:latex)                                                      = ½ºÈé
sewage                                            (industrialforegoing:sewage)                                                     = ÎÛË®
sludge                                            (industrialforegoing:sludge)                                                     = ÎÛÄà
biofuel                                           (industrialforegoing:biofuel)                                                    = ÉúÎïÈ¼ÓÍ
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = ·ÛºìÕ³Òº
if.protein                                        (industrialforegoing:if.protein)                                                 = µ°°×ÖÊ
if.ore_fluid_raw                                  ([no block])                                                                     = Éú¿óÎïÈâÌÀ
if.ore_fluid_fermented                            ([no block])                                                                     = ·¢½Í¿óÎïÈâÌÀ
oxygen                                            (nuclearcraft:fluid_oxygen)                                                      = Ñõ
hydrogen                                          (nuclearcraft:fluid_hydrogen)                                                    = Çâ
deuterium                                         (nuclearcraft:fluid_deuterium)                                                   = ë®
tritium                                           (nuclearcraft:fluid_tritium)                                                     = ë°
